frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13438","Jul  4, 2024 10:45:14.015175642 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13439","Jul  4, 2024 10:45:14.015176242 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13440","Jul  4, 2024 10:45:14.015176342 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13441","Jul  4, 2024 10:45:14.015176442 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13442","Jul  4, 2024 10:45:14.015230643 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13443","Jul  4, 2024 10:45:14.015252343 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13444","Jul  4, 2024 10:45:14.015653146 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13445","Jul  4, 2024 10:45:14.015670546 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13446","Jul  4, 2024 10:45:14.021118786 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13447","Jul  4, 2024 10:45:14.021119386 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13448","Jul  4, 2024 10:45:14.021119486 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13449","Jul  4, 2024 10:45:14.021119586 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13450","Jul  4, 2024 10:45:14.021119686 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13451","Jul  4, 2024 10:45:14.021193887 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13452","Jul  4, 2024 10:45:14.021229387 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13453","Jul  4, 2024 10:45:14.021372988 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13454","Jul  4, 2024 10:45:14.021592090 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13455","Jul  4, 2024 10:45:14.021615090 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13456","Jul  4, 2024 10:45:14.023514904 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13457","Jul  4, 2024 10:45:14.023530404 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
