Inviato,Ricevuto,PackSize,Test,RTT,
37.843342,37.859193,512,10M,15851,
37.945109,37.964094,1024,10M,18985,
38.53206,38.69091,1500,10M,15885,
40.785521,40.804023,8,80M,18502,
40.859133,40.874355,16,80M,15222,
40.924312,40.943797,32,80M,19485,
40.994349,41.5102,64,80M,589247,
41.54288,41.65115,128,80M,10827,
41.114397,41.133772,256,80M,19375,
41.184444,41.203546,512,80M,19102,
41.254409,41.274324,1024,80M,19915,
41.324480,41.339498,1500,80M,15018,
46.49344,46.69549,8,1M,20205,
46.163078,46.187240,16,1M,24162,
46.234381,46.245099,32,1M,10718,
46.293915,46.305138,64,1M,11223,
46.354043,46.365092,128,1M,11049,
46.413995,46.425077,256,1M,11082,
46.474071,46.493540,512,1M,19469,
46.543936,46.558395,1024,1M,14459,
46.604068,46.619062,1500,1M,14994,
51.283817,51.303641,8,8M,19824,
51.374577,51.393619,16,8M,19042,
51.464054,51.483808,32,8M,19754,
51.564475,51.584384,64,8M,19909,
51.654571,51.674016,128,8M,19445,
51.754425,51.774679,256,8M,20254,
51.854468,51.873947,512,8M,19479,
51.964297,51.979087,1024,8M,14790,
52.64383,52.84727,1500,8M,20344,
52.165916,52.185328,8,10M,19412,
52.267080,52.297146,16,10M,30066,
52.397156,52.415089,32,10M,17933,
52.511150,52.529008,64,10M,17858,
52.627155,52.643528,128,10M,16373,
52.733025,52.744583,256,10M,11558,
52.835168,52.853619,512,10M,18451,
52.943194,52.958550,1024,10M,15356,
53.44970,53.64328,1500,10M,19358,
57.385300,57.403657,8,80M,18357,
57.485144,57.511182,16,80M,26038,
57.607352,57.649910,32,80M,42558,
57.775503,57.824257,64,80M,48754,
57.955441,58.15552,128,80M,239889,
58.169618,58.235669,256,80M,66051,
58.379328,58.457483,512,80M,78155,
58.625523,58.715897,1024,80M,90374,
58.883397,58.986297,1500,80M,102900,
6.519498,6.534892,8,1M,15394,
6.614969,6.638812,16,1M,23843,
6.693158,6.704866,32,1M,11708,
6.753782,6.764852,64,1M,11070,
6.823304,6.834903,128,1M,11599,
6.883844,6.903301,256,1M,19457,
6.953766,6.968253,512,1M,14487,
7.13943,7.28364,1024,1M,14421,
7.83285,7.98816,1500,1M,15531,
11.776947,11.797218,8,8M,20271,
11.882879,11.906867,16,8M,23988,
12.8992,12.28225,32,8M,19233,
12.104737,12.158769,64,8M,54032,
12.213071,12.278758,128,8M,65687,
12.333445,12.410850,256,8M,77405,
12.463975,12.546683,512,8M,82708,
12.593942,12.650826,1024,8M,56884,
12.703579,12.719008,1500,8M,15429,
17.13788,17.25125,8,10M,11337,
17.94410,17.114297,16,10M,19887,
17.184688,17.203723,32,10M,19035,
17.264160,17.285141,64,10M,20981,
17.374473,17.394079,128,10M,19606,
18.535751,18.555033,256,10M,19282,
18.614318,18.633892,512,10M,19574,
18.713425,18.729028,1024,10M,15603,
18.783368,18.803799,1500,10M,20431,
18.884077,18.903696,8,80M,19619,
18.979341,19.8885,16,80M,970456,
19.111649,19.171147,32,80M,59498,
19.309568,19.375634,64,80M,66066,
19.514136,19.593688,128,80M,79552,
19.756737,19.845855,256,80M,89118,
20.19792,20.115052,512,80M,95260,
20.290003,20.403269,1024,80M,113266,
20.605598,20.738202,1500,80M,132604,
