frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"5438","Jul  4, 2024 10:46:37.383795832 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5439","Jul  4, 2024 10:46:37.383795832 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5440","Jul  4, 2024 10:46:37.383795832 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5441","Jul  4, 2024 10:46:37.389858833 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5442","Jul  4, 2024 10:46:37.389858933 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5443","Jul  4, 2024 10:46:37.389858933 CEST","10.22.255.154","172.24.204.146","6","1500","1514"
"5444","Jul  4, 2024 10:46:37.389858933 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5445","Jul  4, 2024 10:46:37.389858933 CEST","10.22.255.154","172.24.204.146","6","104","118"
"5446","Jul  4, 2024 10:46:37.389858933 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5447","Jul  4, 2024 10:46:37.389859033 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5448","Jul  4, 2024 10:46:37.389859033 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5449","Jul  4, 2024 10:46:37.389873733 CEST","172.24.204.146","10.22.255.154","6","52","66"
"5450","Jul  4, 2024 10:46:37.389899333 CEST","172.24.204.146","10.22.255.154","6","52","66"
"5451","Jul  4, 2024 10:46:37.389905533 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5452","Jul  4, 2024 10:46:37.390051333 CEST","172.24.204.146","10.22.255.154","6","52","66"
"5453","Jul  4, 2024 10:46:37.404112335 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5454","Jul  4, 2024 10:46:37.404112635 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5455","Jul  4, 2024 10:46:37.404138635 CEST","172.24.204.146","10.22.255.154","6","52","66"
"5456","Jul  4, 2024 10:46:37.408700835 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5457","Jul  4, 2024 10:46:37.408705635 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5458","Jul  4, 2024 10:46:37.408946835 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5459","Jul  4, 2024 10:46:37.408952935 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5460","Jul  4, 2024 10:46:37.409125735 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5461","Jul  4, 2024 10:46:37.409130535 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5462","Jul  4, 2024 10:46:37.409345936 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5463","Jul  4, 2024 10:46:37.409350736 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5464","Jul  4, 2024 10:46:37.409622436 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5465","Jul  4, 2024 10:46:37.409629536 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5466","Jul  4, 2024 10:46:37.409685936 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5467","Jul  4, 2024 10:46:37.409746936 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5468","Jul  4, 2024 10:46:37.409790436 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5469","Jul  4, 2024 10:46:37.409794836 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5470","Jul  4, 2024 10:46:37.409974536 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
