Inviato,Ricevuto,PackSize,Traffico,RTT
19.983938,19.984073,16,20M,135
29.984216,29.984321,32,20M,105
39.984558,39.984731,64,20M,173
49.984864,49.985064,128,20M,200
59.985230,59.985427,256,20M,197
9.985558,9.985683,512,20M,125
19.985998,19.986095,1024,20M,97
29.986403,29.986511,1500,20M,108
42.846403,42.846531,8,20M,128
43.646687,43.646806,16,20M,119
44.447019,44.447118,32,20M,99
45.247288,45.247479,64,20M,191
46.47640,46.47813,128,20M,173
46.848076,46.848201,256,20M,125
47.648405,47.648540,512,20M,135
48.448723,48.448851,1024,20M,128
49.249094,49.249189,1500,20M,95
50.49516,50.49630,8,20M,114
51.49832,51.49931,16,20M,99
52.50137,52.50235,32,20M,98
53.50542,53.50632,64,20M,90
54.50787,54.50875,128,20M,88
55.51116,55.51222,256,20M,106
56.51415,56.51485,512,20M,70
57.51798,57.51887,1024,20M,89
58.52144,58.195912,1500,20M,143768
59.52571,59.386000,8,20M,333429
9.52999,9.53156,16,20M,157
19.53323,19.53418,32,20M,95
29.53585,29.53678,64,20M,93
39.53845,39.53955,128,20M,110
49.53984,49.54028,256,20M,44
59.54325,59.54514,512,20M,189
9.54925,9.55153,1024,20M,228
19.55207,19.55320,1500,20M,113
35.4994,35.5400,8,20M,406
35.805261,35.805346,16,20M,85
36.605557,36.605639,32,20M,82
37.405869,37.405954,64,20M,85
38.206211,38.206310,128,20M,99
39.6638,39.6749,256,20M,111
39.807033,39.807130,512,20M,97
40.607325,40.607447,1024,20M,122
41.407575,41.407694,1500,20M,119
42.207939,42.208197,8,20M,258
43.208461,43.208570,16,20M,109
44.208770,44.208855,32,20M,85
45.209122,45.209295,64,20M,173
46.209545,46.209797,128,20M,252
47.209942,47.210086,256,20M,144
48.210364,48.210500,512,20M,136
49.210635,49.210754,1024,20M,119
50.210947,50.354401,1500,20M,143454
51.211215,51.288851,8,20M,77636
1.211621,1.211751,16,20M,130
11.211969,11.212121,32,20M,152
21.212279,21.212402,64,20M,123
31.212635,31.212789,128,20M,154
41.212976,41.213077,256,20M,101
51.213378,51.213478,512,20M,100
1.213696,1.213846,1024,20M,150
11.214244,11.214638,1500,20M,394
